[ 2013-02-27T15:15:44+08:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [8] Undefined index: id bde6c39192a0c6d2018c4f77ad98b400.php 第 20 行.
[ 2013-02-27T15:15:44+08:00 ] /trunk/index.php?app=Theme&mod=Theme&act=index | NOTIC: [8] Undefined variable: page bde6c39192a0c6d2018c4f77ad98b400.php 第 24 行.
[ 2013-02-27T07:15:45+00:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T07:15:45+00:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [2] Missing argument 5 for getChildTree(), called in D:\Zend\Apache2\htdocs\trunk\apps\theme\Lib\Action\MenuAction.class.php on line 4 and defined extend.php 第 2484 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | SQL:  RunTime:0.003704s SQL = SHOW COLUMNS FROM ts_menu
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | SQL:  RunTime:0.002503s SQL = SELECT * FROM `ts_menu` WHERE ( `status` = 1 ) ORDER BY sort
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 20 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 22 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 20 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 22 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 20 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 22 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 20 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 22 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 20 行.
[ 2013-02-27T15:15:45+08:00 ] /trunk/index.php?app=Theme&mod=Menu&act=index | NOTIC: [8] Undefined index: create_time a9c09f4fab3fc491911881d0fa24fd86.php 第 22 行.
